query,street_norm,city,zip5,latitude,longitude,source
"2157 Gaston Place Dr, Austin, TX, 78723",2157 Gaston Place Dr,Austin,78723,30.31209967711,-97.686223852572,prior
"1910 W Ben White Blvd, Austin, TX, 78704",1910 W Ben White Blvd,Austin,78704,30.230218262792,-97.787634747238,prior
"900 E Braker Ln, Austin, TX, 78753",900 E Braker Ln,Austin,78753,30.376178408511,-97.673900707869,prior
"907 W 5th St, Austin, TX, 78703",907 W 5th St,Austin,78703,30.269738295045,-97.753327110128,prior
"3600 S Lamar Blvd, Austin, TX, 78704",3600 S Lamar Blvd,Austin,78704,30.239337603143,-97.788384098191,prior
"208 Barton Springs Rd, Austin, TX, 78704",208 Barton Springs Rd,Austin,78704,30.258989905132,-97.747001175304,prior
"9700 N Capital of Texas Highway, Austin, TX, 78759",9700 N Capital of Texas Highway,Austin,78759,30.389914385559,-97.74430765949,prior
"900 Harvard Dr, Pflugerville, TX, 78660",900 Harvard Dr,Pflugerville,78660,30.434394138276,-97.63089194867,prior
"2121 Lohmans Crossing Rd, Austin, TX, 78734",2121 Lohmans Crossing Rd,Austin,78734,30.342458311653,-97.971317252244,prior
"11801 Domain Blvd, Austin, TX, 78758",11801 Domain Blvd,Austin,78758,30.404253595619,-97.721084915926,prior
"2308 E Riverside Dr, Austin, TX, 78741",2308 E Riverside Dr,Austin,78741,30.239706367956,-97.72646831793,prior
"1924 S 1st St, Austin, TX, 78704",1924 S 1st St,Austin,78704,30.245700155597,-97.75698025583,prior
"11800 Domain Blvd, Austin, TX, 78758",11800 Domain Blvd,Austin,78758,30.404219237405,-97.721211666358,prior
"11924 Ring Dr, Manor, TX, 78653",11924 Ring Dr,Manor,78653,30.346540777183,-97.539728590688,prior
"12221 Renfert Way, Austin, TX, 78758",12221 Renfert Way,Austin,78758,30.411004077451,-97.704211246346,prior
"11066 Pecan Park Blvd Ste 111, Cedar Park, TX, 78613",11066 Pecan Park Blvd Ste 111,Cedar Park,78613,30.470070031797,-97.802330043324,prior
"1834 E Oltorf St, Austin, TX, 78741",1834 E Oltorf St,Austin,78741,30.231665738508,-97.73591299422,prior
"701 Immanuel Rd, Pflugerville, TX, 78660",701 Immanuel Rd,Pflugerville,78660,30.430221682135,-97.613476720045,prior
"1800 E Oltorf St, Austin, TX, 78741",1800 E Oltorf St,Austin,78741,30.232323228213,-97.736793804946,prior
"18900 Falcon Pointe Blvd, Pflugerville, TX, 78660",18900 Falcon Pointe Blvd,Pflugerville,78660,30.462567588375,-97.584625412993,prior
"6020 Dillard Cir, Austin, TX, 78752",6020 Dillard Cir,Austin,78752,30.325778835236,-97.717788552861,prior
"11300 E Us 290 Highway, Manor, TX, 78653",11300 E Us 290 Highway,Manor,78653,30.350757327365,-97.499879944361,prior
"4606 Connelly St, Austin, TX, 78751",4606 Connelly St,Austin,78751,30.304453212658,-97.714786043216,prior
"1200 E Rundberg Ln, Austin, TX, 78753",1200 E Rundberg Ln,Austin,78753,30.354149924661,-97.68135561451,prior
"12301 Hymeadow Dr, Austin, TX, 78750",12301 Hymeadow Dr,Austin,78750,30.454539865924,-97.797220990366,prior
"2125 Lohmans Crossing Rd, Austin, TX, 78734",2125 Lohmans Crossing Rd,Austin,78734,30.34238260263,-97.971181295919,prior
"404 E Highland Mall Blvd, Austin, TX, 78752",404 E Highland Mall Blvd,Austin,78752,30.328630689723,-97.71088755236,prior
"1603 E Oltorf St, Austin, TX, 78741",1603 E Oltorf St,Austin,78741,30.233233397524,-97.73938192328,prior
"1805 E Parmer Ln, Austin, TX, 78754",1805 E Parmer Ln,Austin,78754,30.386166029781,-97.647398770216,prior
"5201 Ross Rd, Del Valle, TX, 78617",5201 Ross Rd,Del Valle,78617,30.185312240303,-97.609381952693,prior
"9717 N Lamar Blvd, Austin, TX, 78753",9717 N Lamar Blvd,Austin,78753,30.366596085549,-97.694946665201,prior
"4611 E Martin Luther King Jr Blvd, Austin, TX, 78721",4611 E Martin Luther King Jr Blvd,Austin,78721,30.285819745218,-97.682430313357,prior
