facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
11458710,Parmer Lane 5 Caffe Macs,5505 W Parmer Ln Bldg 5,Austin,4,95.75,94,100,2025-12-18,95,Restaurant & Food Service,Parmer Lane 5 Caffe Macs
12029818,East Side Pies,13265 N US 183 Hwy NB Service Rd Unit B,Austin,4,95.75,93,98,2026-04-03,98,Restaurant & Food Service,East Side Pies
12089715,Life Family Learning Center,1504 E 51st St,Austin,4,95.75,94,100,2025-03-24,100,School & Childcare,Life Family Learning Center
12393300,Chipotle Mexican Grill # 3660,1700 E Oltorf St Ste 120,Austin,4,95.75,93,98,2026-01-08,95,Restaurant & Food Service,Chipotle Mexican Grill
12394811,Good Thymes Catering,12013 Fitzhugh Rd,Austin,4,95.75,92,99,2026-01-06,99,Institutional & Catering,Good Thymes Catering
12397190,LW - Cookie Dough Cowgirl,1310 FM 620 Ste A6,Austin,4,95.75,90,99,2026-04-17,99,Restaurant & Food Service,LW - Cookie Dough Cowgirl
12398013,"Daffodil Culinary, LLC",1023 Springdale Rd Bldg 1 Ste 1,Austin,4,95.75,90,100,2026-02-12,90,Restaurant & Food Service,"Daffodil Culinary, LLC"
12399366,BC - Park Manor Bee Cave,14058 Bee Cave Pkwy Bldg B,Bee Cave,4,95.75,90,100,2025-11-05,100,Restaurant & Food Service,BC - Park Manor Bee Cave
12399530,Pizza Patron,5717 S Ih 35,Austin,4,95.75,94,97,2026-04-16,97,Restaurant & Food Service,Pizza Patron
2800031,Upper Crust Bakery,4508 Burnet Rd,Austin,6,95.67,92,97,2026-02-18,95,Restaurant & Food Service,Upper Crust Bakery
2800768,Panda Express #318,11200 Lakeline Mall Dr Ste Vc4,Cedar Park,3,95.67,95,96,2026-04-21,96,Restaurant & Food Service,Panda Express
2800769,Best Western Plus Austin City Hotel,2200 S IH 35 Service Rd SB,Austin,3,95.67,91,99,2026-04-13,91,Restaurant & Food Service,Best Western Plus Austin City Hotel
2801326,Amy's Ice Cream,4477 S Lamar NB Blvd,Austin,3,95.67,94,97,2026-02-04,94,Restaurant & Food Service,Amy's Ice Cream
