permitID,facility_id,match_method,confidence,n_shared_events,p_name_raw,p_addr_raw,p_city,p_zip,i_name_raw,i_addr_raw,status
313ED5F8-18F7-4D1B-855B-E2DB2B5D28EB,10090277,name+street+zip,exact,NA,Susy's Daycare Center,308 W William Cannon Dr Unit B,Austin,78745,Susy's Daycare Center,308 W William Cannon Dr Unit B,matched
DA626FA3-8D4F-4B58-A215-3956A56346F1,12399925,name+street+zip,exact,NA,Suzi's Chinese,4805 Burnet Rd,Austin,78756,Suzi's Chinese,4805 Burnet Rd,matched
B1024BC7-A7AF-43BD-B8C4-67C36C342408,12400232,name+street+zip,exact,NA,Swadeshi Foods,15630 Vision Dr Ste B Unit 3,Pflugerville,78660,Swadeshi Foods,15630 Vision Dr Ste B Unit 3,matched
EBF604EF-0102-4906-984D-1BBC69A39CC6,10358258,name+street+zip,exact,NA,Swan Dive,615 Red River St,Austin,78701,Swan Dive,615 Red River St,matched
1E23AF21-7999-4D43-9EBD-7123B3EFEE2D,12400016,name+street+zip,exact,NA,Swedish Hill Bakery,1128 W 6TH  ST,AUSTIN,78703,Swedish Hill Bakery,1128 W 6TH ST,matched
6417032B-E444-48FE-9176-B8D523A8BA86,11927026,name+street+zip,exact,NA,Sweet Briar CDC LLC,205 Sandra St,Austin,78745,Sweet Briar CDC LLC,205 Sandra St,matched
DAA284A2-7C5C-495C-94A2-6998BEDDD8B1,12397541,name+street+zip,exact,NA,Sweet Charli Girl,1300 E Anderson Ln Apt 1007 Bldg D,Austin,78752,Sweet Charli Girl,1300 E Anderson Ln Apt 1007 Bldg D,matched
947359FB-51E7-4B90-8632-5734261F4A81,12096228,name+street+zip,exact,NA,Sweet Chive,2515 E Cesar Chavez St,Austin,78702,Sweet Chive,2515 E Cesar Chavez St,matched
8367323F-2C9E-4FCE-B273-77FC644228EA,12397199,name+street+zip,exact,NA,Sweet Memes Austin,3801 S Congress Ave Ste 109,Austin,78704,Sweet Memes Austin,3801 S Congress Ave Ste 109,matched
6E91BE61-8F40-4F7F-9C23-92A0A229D8CD,12393325,name+street+zip,exact,NA,Sweet Paris Creperie & Cafe,11410 Century Oaks Ter Ste 112 # Bunit,Austin,78758,Sweet Paris Creperie & Cafe,11410 Century Oaks Ter Ste 112 # Bunit,matched
747A7D40-B572-4E3F-A1FF-3BA4FE2BFA0D,12401316,name+street+zip,exact,NA,Sweet Treets Bakery,6705 W US 290  HWY UNIT 601,AUSTIN,78735,Sweet Treets Bakery,6705 W US 290 HWY UNIT 601,matched
B5546B7C-D15A-46AB-A656-3A5781F93AD9,12393832,name+street+zip,exact,NA,Sweetgreen,2234  GUADALUPE  ST,AUSTIN,78705,Sweetgreen,2234 GUADALUPE ST,matched
B818B7E3-E6CE-4295-A6AD-FDE923DCF83B,12399681,name+street+zip,exact,NA,Sweetgreen,11501 Rock Rose Ave Ste 124,Austin,78758,Sweetgreen,11501 Rock Rose Ave Ste 124,matched
DF66EFDE-95CA-4BC3-B21E-6362B07137F5,12395142,name+street+zip,exact,NA,Sweetgreen,200 W 2nd St,Austin,78701,Sweetgreen,200 W 2nd St,matched
FC1E7F4A-B6DD-4AF4-A008-CD46431E661C,12393165,name+street+zip,exact,NA,Sweetgreen,1007 S Congress Ave Apt 110 # Bunit,Austin,78704,Sweetgreen,1007 S Congress Ave Apt 110 # Bunit,matched
BAD41153-D234-4349-A204-822E311AF99F,12398920,name+street+zip,exact,NA,Sweetness,315 Lavaca St Unit 102,Austin,78701,Sweetness,315 Lavaca St Unit 102,matched
4B60D04E-3B85-414B-AB2F-1FFC21A18889,179503,name+street+zip,exact,NA,Sweetwaters Coffee and Tea Texas Capitol,316 W 12th St,Austin,78701,Sweetwaters Coffee and Tea Texas Capitol,316 W 12th St,matched
83F629C9-2594-47B2-A2C1-373ED3D7F59A,12401608,name+street+zip,exact,NA,Swift's Attic,315 Congress Ave Ste 200,Austin,78701,Swift's Attic,315 Congress Ave Ste 200,matched
